File,Source,Year,Ceremony,Category,Nominee (Person),Title,Winner
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Directing,Martin Scorsese,Killers of the Flower Moon,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Directing,Christopher Nolan,Oppenheimer,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Directing,Yorgos Lanthimos,Poor Things,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Best Picture,,Killers of the Flower Moon,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Best Picture,,Maestro,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Best Picture,,Oppenheimer,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Best Picture,,Poor Things,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Writing (Adapted Screenplay),Christopher Nolan,Oppenheimer,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Writing (Adapted Screenplay),Tony McNamara,Poor Things,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2023,96th,Writing (Original Screenplay),"Bradley Cooper, Josh Singer",Maestro,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Actor in a Leading Role,Adrien Brody,The Brutalist,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Actress in a Leading Role,Karla Sofia Gascon,Emilia Perez,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Actress in a Leading Role,Mikey Madison,Anora,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Actress in a Leading Role,Demi Moore,The Substance,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Directing,Sean Baker,Anora,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Directing,Brady Corbet,The Brutalist,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Directing,Coralie Fargeat,The Substance,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Directing,Jacques Audiard,Emilia Perez,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Best Picture,,The Brutalist,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Best Picture,,Emilia Perez,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Best Picture,,The Substance,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Best Picture,,Anora,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Writing (Adapted Screenplay),Jacques Audiard et al.,Emilia Perez,FALSE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Writing (Original Screenplay),Sean Baker,Anora,TRUE
Academy Awards 2016-2025 - Sheet1.csv,oscars,2024,97th,Writing (Original Screenplay),"Brady Corbet, Mona Fastvoid",The Brutalist,FALSE
