source,year,ceremony,category,nominee (person),title,winner
golden globes,2021,79,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,"Tragedy of Macbeth, The",FALSE
golden globes,2021,79,Best Motion Picture - Musical or Comedy,,West Side Story,TRUE
golden globes,2021,79,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rachel Zegler,West Side Story,TRUE
golden globes,2021,79,Best Director - Motion Picture,Steven Spielberg ,West Side Story,FALSE
golden globes,2022,80,Best Motion Picture - Drama,,Avatar: The Way of Water,FALSE
golden globes,2022,80,Best Director - Motion Picture,James Cameron,Avatar: The Way of Water,FALSE
golden globes,2022,80,Best Motion Picture - Musical or Comedy,,Babylon,FALSE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Margot Robbie,Babylon,FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Diego Calva,Babylon,FALSE
golden globes,2022,80,Best Motion Picture - Musical or Comedy,,"Banshees of Inisherin, The",TRUE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,"Banshees of Inisherin, The",TRUE
golden globes,2022,80,Best Director - Motion Picture,Martin McDonagh,"Banshees of Inisherin, The",FALSE
golden globes,2022,80,Best Screenplay - Motion Picture,Martin McDonagh,"Banshees of Inisherin, The",TRUE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Drama,Ana de Armas,Blonde,FALSE
golden globes,2022,80,Best Motion Picture - Drama,,Elvis,FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Drama,Austin Butler,Elvis,TRUE
golden globes,2022,80,Best Director - Motion Picture,Bax Luhrmann,Elvis,FALSE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Drama,Olivia Colman,Empire of Light,FALSE
golden globes,2022,80,Best Motion Picture - Musical or Comedy,,Everything Everywhere All at Once,FALSE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Yeoh,Everything Everywhere All at Once,TRUE
golden globes,2022,80,Best Director - Motion Picture,"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,FALSE
golden globes,2022,80,Best Screenplay - Motion Picture,"Daniel Kwan, Daniel Scheinert",Everything Everywhere All at Once,FALSE
golden globes,2022,80,Best Motion Picture - Drama,,"Fabelmans, The",TRUE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Drama,Michelle Williams,"Fabelmans, The",FALSE
golden globes,2022,80,Best Director - Motion Picture,Steven Spielberg,"Fabelmans, The",TRUE
golden globes,2022,80,Best Screenplay - Motion Picture,"Steven Spielberg, Tony Kushner","Fabelmans, The",FALSE
golden globes,2022,80,Best Motion Picture - Musical or Comedy,,Glass Onion: A Knives Out Mystery,FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Craig,Glass Onion: A Knives Out Mystery,FALSE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Thomspon,"Good Luck to You, Leo Grande",FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Drama,Jeremy Pope,"Inspection, The",FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Drama,Mill Nighy,Living,FALSE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anya Taylor-Joy,"Menu, The",FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ralph Fiennes,"Menu, The",FALSE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lesley Manville,Mrs. Harris Goes to Paris,FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Drama,Hugh Jackman,"Son, The",FALSE
golden globes,2022,80,Best Motion Picture - Drama,,TAR,FALSE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,TAR,TRUE
golden globes,2022,80,Best Screenplay - Motion Picture,Todd Field,TAR,FALSE
golden globes,2022,80,Best Motion Picture - Drama,,Top Gun: Maverick,FALSE
golden globes,2022,80,Best Motion Picture - Musical or Comedy,,Triangle of Sadness,FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Drama,Brendan Fraser,"Whale, The",FALSE
golden globes,2022,80,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Adam Driver,White Noise,FALSE
golden globes,2022,80,Best Performance by an Actress in a Motion Picture - Drama,Viola Davis,"Woman King, The",FALSE
golden globes,2022,80,Best Screenplay - Motion Picture,Sarah Polley,Women Talking,FALSE
golden globes,2023,81,Best Motion Picture - Musical or Comedy,,Air,FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Matt Damon,Air,FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Andrew Scott,All of Us Strangers,FALSE
golden globes,2023,81,Best Motion Picture - Musical or Comedy,,American Fiction,FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jeffrey Wright,American Fiction,FALSE
golden globes,2023,81,Best Motion Picture - Drama,,Anatomy of a Fall,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Drama,Sandra Huller,Anatomy of a Fall,FALSE
golden globes,2023,81,Best Screenplay - Motion Picture,"Justine Triet, Arthur Harari",Anatomy of a Fall,TRUE
golden globes,2023,81,Best Motion Picture - Musical or Comedy,,Barbie,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Margot Robbie,Barbie,FALSE
golden globes,2023,81,Best Director - Motion Picture,Greta Gerwig,Barbie,FALSE
golden globes,2023,81,Best Screenplay - Motion Picture,"Greta Gerwig, Noah Baumbach",Barbie,FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix ,Beau is Afraid,FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nicolas Cage,Dream Scenario,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Alma Poysti,Fallen Leaves,FALSE
golden globes,2023,81,Best Motion Picture - Musical or Comedy,,"Holdovers, The",FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Giamatti,"Holdovers, The",TRUE
golden globes,2023,81,Best Motion Picture - Drama,,Killers of the Flower Moon,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Drama,Lily Gladstone,Killers of the Flower Moon,TRUE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Killers of the Flower Moon,FALSE
golden globes,2023,81,Best Director - Motion Picture,Martin Scorsese,Killers of the Flower Moon,FALSE
golden globes,2023,81,Best Screenplay - Motion Picture,"Eric Roth, Martin Scorsese",Killers of the Flower Moon,FALSE
golden globes,2023,81,Best Motion Picture - Drama,,Maestro,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Drama,Carey Mulligan,Maestro,FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Bradley Cooper,Maestro,FALSE
golden globes,2023,81,Best Director - Motion Picture,Bradley Cooper,Maestro,FALSE
golden globes,2023,81,Best Motion Picture - Musical or Comedy,,May December,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Natalie Portman,May December,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence ,No Hard Feelings,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Drama,Annette Bening,Nyad,FALSE
golden globes,2023,81,Best Motion Picture - Drama,,Oppenheimer,TRUE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Cillian Murphy,Oppenheimer,TRUE
golden globes,2023,81,Best Director - Motion Picture,Christopher Nolan,Oppenheimer,TRUE
golden globes,2023,81,Best Screenplay - Motion Picture,Christopher Nolan,Oppenheimer,FALSE
golden globes,2023,81,Best Motion Picture - Drama,,Past Lives,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Drama,Greta Lee,Past Lives,FALSE
golden globes,2023,81,Best Director - Motion Picture,Celine Song,Past Lives,FALSE
golden globes,2023,81,Best Screenplay - Motion Picture,Celine Song,Past Lives,FALSE
golden globes,2023,81,Best Motion Picture - Musical or Comedy,,Poor Things,TRUE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Poor Things,TRUE
golden globes,2023,81,Best Director - Motion Picture,Yorgos Lanthimos,Poor Things,FALSE
golden globes,2023,81,Best Screenplay - Motion Picture,Tony McNamara,Poor Things,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Drama,Cailee Spaeny,Priscilla,FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Colman Domingo,Rustin,FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Drama,Barry Keoghan,Saltburn,FALSE
golden globes,2023,81,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Fantasia Barrino,The Color Purple (2023),FALSE
golden globes,2023,81,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Timothee Chalamet,Wonka,FALSE
golden globes,2023,81,Best Motion Picture - Drama,,"Zone of Interest, The",FALSE
golden globes,2024,82,Best Motion Picture - Drama,,September 5,FALSE
golden globes,2024,82,Best Motion Picture - Drama,,A Complete Unknown,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Drama,Timothee Chalamet,A Complete Unknown,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sebastian Stan,A Different Man,TRUE
golden globes,2024,82,Best Motion Picture - Musical or Comedy,,A Real Pain,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jesse Eisenberg,A Real Pain,FALSE
golden globes,2024,82,Best Screenplay - Motion Picture,Jesse Eisenberg,A Real Pain,FALSE
golden globes,2024,82,Best Director - Motion Picture,Payal Kapadia,All We Imagine as Light,FALSE
golden globes,2024,82,Best Motion Picture - Musical or Comedy,,Anora,FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mikey Madison,Anora,FALSE
golden globes,2024,82,Best Director - Motion Picture,Sean Baker,Anora,FALSE
golden globes,2024,82,Best Screenplay - Motion Picture,Sean Baker,Anora,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Drama,Sebastian Stan,"Apprentice, The",FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Babygirl,FALSE
golden globes,2024,82,Best Motion Picture - Drama,,"Brutalist, The",TRUE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Drama,Adrien Brody,"Brutalist, The",TRUE
golden globes,2024,82,Best Director - Motion Picture,Brady Corbet,"Brutalist, The",TRUE
golden globes,2024,82,Best Screenplay - Motion Picture,"Brady Corbet, Mona Fastvold","Brutalist, The",FALSE
golden globes,2024,82,Best Motion Picture - Musical or Comedy,,Challengers,FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Zendaya,Challengers,FALSE
golden globes,2024,82,Best Motion Picture - Drama,,Conclave,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Drama,Ralph Fiennes,Conclave,FALSE
golden globes,2024,82,Best Director - Motion Picture,Edward Berger,Conclave,FALSE
golden globes,2024,82,Best Screenplay - Motion Picture,Peter Straughan,Conclave,TRUE
golden globes,2024,82,Best Motion Picture - Drama,,Dune: Part Two,FALSE
golden globes,2024,82,Best Motion Picture - Musical or Comedy,,Emilia Perez,TRUE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Karla Sofia Gascon,Emilia Perez,FALSE
golden globes,2024,82,Best Director - Motion Picture,Jacques Audiard,Emilia Perez,FALSE
golden globes,2024,82,Best Screenplay - Motion Picture,Jacques Audiard,Emilia Perez,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,Heretic,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glen Powell,Hit Man,FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Drama,Fernanda Torres,I'm Still Here,TRUE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jesse Plemons,Kinds of Kindness,FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Drama,Pamela Anderson,"Last Showgirl, The",FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Lee,FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Drama,Angelina Jolie,Maria,FALSE
golden globes,2024,82,Best Motion Picture - Drama,,Nickel Boys,FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,Nightbitch,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Drama,Daniel Craig,Queer,FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Drama,Tilda Swinton,"Room Next Door, The",FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gabriel LaBelle,Saturday Night,FALSE
golden globes,2024,82,Best Performance by an Actor in a Motion Picture - Drama,Colman Domingo,Sing Sing,FALSE
golden globes,2024,82,Best Motion Picture - Musical or Comedy,,"Substance, The",FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Demi Moore,"Substance, The",TRUE
golden globes,2024,82,Best Director - Motion Picture,Coralie Fargeat,"Substance, The",FALSE
golden globes,2024,82,Best Screenplay - Motion Picture,Coralie Fargeat,"Substance, The",FALSE
golden globes,2024,82,Best Motion Picture - Musical or Comedy,,Wicked,FALSE
golden globes,2024,82,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cynthia Erivo,Wicked,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Drama,Julia Roberts,After the Hunt,FALSE
golden globes,2025,83,Best Motion Picture - Musical or Comedy,,Blue Moon,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ethan Hawke,Blue Moon,FALSE
golden globes,2025,83,Best Motion Picture - Musical or Comedy,,Bugonia,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Bugonia,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jesse Plemons,Bugonia,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Drama,Jennifer Lawrence,Die My Love,FALSE
golden globes,2025,83,Best Motion Picture - Drama,,Frankenstein,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Drama,Oscar Isaac,Frankenstein,FALSE
golden globes,2025,83,Best Director - Motion Picture,Guillermo del Toro,Frankenstein,FALSE
golden globes,2025,83,Best Motion Picture - Drama,,Hamnet,TRUE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Drama,Jessie Buckley,Hamnet,TRUE
golden globes,2025,83,Best Director - Motion Picture,Chloe Zhao,Hamnet,FALSE
golden globes,2025,83,Best Screenplay - Motion Picture,"Chloe Zhao, Maggie O'Farrell",Hamnet,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Drama,Tessa Thompson,Hedda,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rose Byrne,If I Had Legs I'd Kick You,TRUE
golden globes,2025,83,Best Motion Picture - Drama,,It Was Just an Accident,FALSE
golden globes,2025,83,Best Director - Motion Picture,Jafar Panahi,It Was Just an Accident,FALSE
golden globes,2025,83,Best Screenplay - Motion Picture,Jafar Panahi,It Was Just an Accident,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Musical or Comedy,George Clooney,Jay Kelly,FALSE
golden globes,2025,83,Best Motion Picture - Musical or Comedy,,Marty Supreme,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Timothee Chalamet,Marty Supreme,TRUE
golden globes,2025,83,Best Screenplay - Motion Picture,"Ronald Bronstein, Josh Safdie",Marty Supreme,FALSE
golden globes,2025,83,Best Motion Picture - Musical or Comedy,,No Other Choice,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lee Byung-Hun,No Other Choice,FALSE
golden globes,2025,83,Best Motion Picture - Musical or Comedy,,Nouvelle Vague,FALSE
golden globes,2025,83,Best Motion Picture - Musical or Comedy,,One Battle After Another,TRUE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Chase Infiniti,One Battle After Another,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Leonardo DiCaprio,One Battle After Another,FALSE
golden globes,2025,83,Best Director - Motion Picture,Paul Thomas Anderson,One Battle After Another,TRUE
golden globes,2025,83,Best Screenplay - Motion Picture,Paul Thomas Anderson,One Battle After Another,TRUE
golden globes,2025,83,Best Motion Picture - Drama,,"Secret Agent, The",FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Drama,Wagner Moura,"Secret Agent, The",TRUE
golden globes,2025,83,Best Motion Picture - Drama,,Sentimental Value,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Drama,Renate Reinsve,Sentimental Value,FALSE
golden globes,2025,83,Best Director - Motion Picture,Joachim Trier,Sentimental Value,FALSE
golden globes,2025,83,Best Screenplay - Motion Picture,"Joachim Trier, Eskil Vogt",Sentimental Value,FALSE
golden globes,2025,83,Best Motion Picture - Drama,,Sinners,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Drama,Michael B. Jordan,Sinners,FALSE
golden globes,2025,83,Best Director - Motion Picture,Ryan Coogler,Sinners,FALSE
golden globes,2025,83,Best Screenplay - Motion Picture,Ryan Coogler,Sinners,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Drama,Dwayne Johnson,"Smashing Machine, The",FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kate Hudson,Song Sung Blue,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Drama,Eva Victor,"Sorry, Baby",FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Drama,Jeremy Allen White,Springsteen: Deliver Me from Nowhere,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amanda Seyfried,The Testament of Ann Lee,FALSE
golden globes,2025,83,Best Performance by an Actor in a Motion Picture - Drama,Joel Edgerton,Train Dreams,FALSE
golden globes,2025,83,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cynthia Erivo,Wicked: For Good,FALSE
