Source,Year,Ceremony,Category,Nominee (Person),Nominee (Film),Winner
oscars,2018,91st,Directing,Pawel Pawlikowski,Cold War,FALSE
oscars,2018,91st,Directing,Yorgos Lanthimos,The Favourite,FALSE
oscars,2018,91st,Directing,Alfonso Cuaron,Roma,TRUE
oscars,2018,91st,Directing,Adam McKay,Vice,FALSE
oscars,2018,91st,Best Picture,,Black Panther,FALSE
oscars,2018,91st,Best Picture,,BlacKkKlansman,FALSE
oscars,2018,91st,Best Picture,,Bohemian Rhapsody,FALSE
oscars,2018,91st,Best Picture,,The Favourite,FALSE
oscars,2018,91st,Best Picture,,Green Book,TRUE
oscars,2018,91st,Best Picture,,Roma,FALSE
oscars,2018,91st,Best Picture,,A Star Is Born,FALSE
oscars,2018,91st,Best Picture,,Vice,FALSE
oscars,2018,91st,Writing (Adapted Screenplay),"Joel Coen, Ethan Coen",The Ballad of Buster Scruggs,FALSE
oscars,2018,91st,Writing (Adapted Screenplay),"Charlie Wachtel, Dadiv Rabinowitz, Kevin WIllmore",BlackKKlansman,TRUE
oscars,2018,91st,Writing (Adapted Screenplay),"Nicole Holofcener, Jeff Whitty",Can You Ever Forgive Me?,FALSE
oscars,2018,91st,Writing (Adapted Screenplay),Barry Jenkins,If Beale Street Could Talk,FALSE
oscars,2018,91st,Writing (Adapted Screenplay),"Eric Roth, Bradley Cooper, Will Fetters",A Star Is Born,FALSE
oscars,2018,91st,Writing (Original Screenplay),"Deborah Davis, Tony McNamara",The Favourite,FALSE
oscars,2018,91st,Writing (Original Screenplay),Paul Shrader,First Reformed,FALSE
oscars,2018,91st,Writing (Original Screenplay),"Nick Vallelonga, Brian Currie, Pete Farrelly",Green Book,TRUE
oscars,2018,91st,Writing (Original Screenplay),Alfonso Cuaron,Roma,FALSE
oscars,2018,91st,Writing (Original Screenplay),Adam McKay,Vice,FALSE
oscars,2019,92nd,Actor in a Leading Role ,Antonio Banderas,Pain and Glory,FALSE
oscars,2019,92nd,Actor in a Leading Role ,Leonardo DiCaprio,Once upon a Time... in Hollywood,FALSE
oscars,2019,92nd,Actor in a Leading Role ,Adam Driver,Marriage Story,FALSE
oscars,2019,92nd,Actor in a Leading Role ,Joaquin Phoenix,Joker,TRUE
oscars,2019,92nd,Actor in a Leading Role ,Jonathan Pryce,The Two Popes,FALSE
oscars,2019,92nd,Actress in a Leading Role,Cynthia Erivo,Harriet,FALSE
oscars,2019,92nd,Actress in a Leading Role,Scarlett Johansson,Marriage Story,FALSE
oscars,2019,92nd,Actress in a Leading Role,Saoirse Ronan,Little Women,FALSE
oscars,2019,92nd,Actress in a Leading Role,Charlize Theron,Bombshell,FALSE
oscars,2019,92nd,Actress in a Leading Role,Renee Zellweger,Judy,TRUE
oscars,2019,92nd,Directing,Martin Scorsese,The Irishman,FALSE
oscars,2019,92nd,Directing,Todd Philips,Joker,FALSE
oscars,2019,92nd,Directing,Sam Mendes,1917,FALSE
oscars,2019,92nd,Directing,Quentin Tarantino,Once Upon a Time... in Hollywood,FALSE
oscars,2019,92nd,Directing,Bong Joon Ho,Parasite,TRUE
oscars,2019,92nd,Best Picture,,Ford v Ferrari,FALSE
oscars,2019,92nd,Best Picture,,The Irishman,FALSE
oscars,2019,92nd,Best Picture,,Jojo Rabbit,FALSE
oscars,2019,92nd,Best Picture,,Joker,FALSE
oscars,2019,92nd,Best Picture,,Little Women,FALSE
oscars,2019,92nd,Best Picture,,Marriage Story,FALSE
oscars,2019,92nd,Best Picture,,1917,FALSE
oscars,2019,92nd,Best Picture,,Once Upon a Time... in Hollywood,FALSE
oscars,2019,92nd,Best Picture,,Parasite,TRUE
oscars,2019,92nd,Writing (Adapted Screenplay),Steven Zaillian,The Irishman,FALSE
oscars,2019,92nd,Writing (Adapted Screenplay),Taika Waititi,Jojo Rabbit,TRUE
oscars,2019,92nd,Writing (Adapted Screenplay),"Todd Philips, Scott Silver",Joker,FALSE
oscars,2019,92nd,Writing (Adapted Screenplay),Greta Gerwig,Little WOmen,FALSE
oscars,2019,92nd,Writing (Adapted Screenplay),Anthony McCarten,The Two Popes,FALSE
oscars,2019,92nd,Writing (Original Screenplay),Rian Johnson,Knives Out,FALSE
oscars,2019,92nd,Writing (Original Screenplay),Noah Baumbavk,Marriage Story,FALSE
oscars,2019,92nd,Writing (Original Screenplay),"Sam Mendes, Krysty Wilson-Caims",1917,FALSE
oscars,2019,92nd,Writing (Original Screenplay),Quentin Tarantino,Once Upon a Time... in Hollywood,FALSE
oscars,2019,92nd,Writing (Original Screenplay),"Bong Joon Ho, Han Jin Won",Parasite,TRUE
oscars,2020,93rd,Actor in a Leading Role ,Riz Ahmed,Sound of Metal,FALSE
oscars,2020,93rd,Actor in a Leading Role ,Chadwick Boseman,Ma Rainey's Black Bottom,FALSE
oscars,2020,93rd,Actor in a Leading Role ,Anthony Hopkins,The Father,TRUE
oscars,2020,93rd,Actor in a Leading Role ,Gary Oldman,Mank,FALSE
oscars,2020,93rd,Actor in a Leading Role ,Steven Yeun,Minari,FALSE
oscars,2020,93rd,Actress in a Leading Role,Viola Davis,Ma Rainey's Black Bottom,FALSE
oscars,2020,93rd,Actress in a Leading Role,Andra Day,The United States vs Billie Holiday,FALSE
oscars,2020,93rd,Actress in a Leading Role,Vanessa Kirby,Pieces of a Woman,FALSE
oscars,2020,93rd,Actress in a Leading Role,Frances McDormand,Nomadland,TRUE
oscars,2020,93rd,Actress in a Leading Role,Carey Mulligan,Promising Young Woman,FALSE
oscars,2020,93rd,Directing,Thomas Vinterberg,Another Round,FALSE
oscars,2020,93rd,Directing,David Fincher,Mank,FALSE
oscars,2020,93rd,Directing,Lee Isaac Chung,Minari,FALSE
oscars,2020,93rd,Directing,Chloe Zhao,Nomadland,TRUE
oscars,2020,93rd,Directing,Emerald Fennell,Promising Young Woman,FALSE
oscars,2020,93rd,Best Picture,,The Father,FALSE
oscars,2020,93rd,Best Picture,,Judas and the Black Messiah,FALSE
oscars,2020,93rd,Best Picture,,Mank,FALSE
oscars,2020,93rd,Best Picture,,Minari,FALSE
oscars,2020,93rd,Best Picture,,Nomadland,TRUE
oscars,2020,93rd,Best Picture,,Promising Young Woman,FALSE
oscars,2020,93rd,Best Picture,,Sound of Metal,FALSE
oscars,2020,93rd,Best Picture,,The Trial of the Chicago 7,FALSE
oscars,2020,93rd,Writing (Adapted Screenplay),Sacha Baron Cohen et al.,Borat Subsequent Moviefilm,FALSE
oscars,2020,93rd,Writing (Adapted Screenplay),"Christopher Hampton, Florian Zeller",The Father,TRUE
oscars,2020,93rd,Writing (Adapted Screenplay),Chloe Zhao,Nomadland,FALSE
oscars,2020,93rd,Writing (Adapted Screenplay),Kemp Powers,One Night in Miami...,FALSE
oscars,2020,93rd,Writing (Adapted Screenplay),Ramin Bahrani,The White Tiger,FALSE
oscars,2020,93rd,Writing (Original Screenplay),"Will Berson, Shaka King",Judas and the Black Messiah,FALSE
oscars,2020,93rd,Writing (Original Screenplay),Lee Isaac Chung,Minari,FALSE
oscars,2020,93rd,Writing (Original Screenplay),Emerald Fennell,Promising Young Woman,TRUE
oscars,2020,93rd,Writing (Original Screenplay),"Darius Marder, Abraham Marder",Sound of Metal,FALSE
oscars,2020,93rd,Writing (Original Screenplay),Aaron Sorkin,The Trial of the Chicago 7,FALSE
oscars,2021,94th,Actor in a Leading Role ,Javier Bardem,Being the Ricardos,FALSE
